start_ms	end_ms	sp	kind	text
125000	126045	SP1	cyr	дајте една кофа
126540	129924	SP1	lat	so kofata turale, turale, napolnile bočvata
126540	129924	SP1	cyr	со кофата турале, турале, наполниле бочвата
131000	132750	SP1	lat	izglea go, go nagradile čovekot
131000	132750	SP1	cyr	изглеа го, го наградиле човекот
132750	133862	SP1	lat	ajde, ništo
132750	133862	SP1	cyr	ајде, ништо
134560	138165	SP1	lat	prodolžil patot. sea, ušte, ušte, sea, ḱe odam, vika, ḱe baram budali
134560	138165	SP1	cyr	продолжил патот, сеа, уште, уште, сеа, ќе одам, вика, ќе барам будали
139240	140745	SP1	lat	ako, ako najdam znači
139240	140745	SP1	cyr	ако, ако најдам значи
141820	142760	SP1	lat	ḱe ostanete živi
141820	142760	SP1	cyr	ќе останете живи
143040	144460	SP1	lat	ako ne, da znajte deka...
143040	144460	SP1	cyr	ако не, да знајте дека...
145541	145959	SP1	lat	i
145541	145959	SP1	cyr	и
146260	147140	SP1	lat	odit, odit
146260	147140	SP1	cyr	одит, одит
148780	152845	SP1	lat	načekal nekoi, imale svinja, svinjata se oprasila, imala
148780	152845	SP1	cyr	начекал некои, имале свиња, свињата се опрасила, имала
153360	154395	SP1	lat	dvanaeset prasina
153360	154395	SP1	cyr	дванаесет прасина
155800	159235	SP1	lat	Iisega on vikat e ovoj gi laži na luǵevo mu vika slušaj
155800	159235	SP1	cyr	и сега он викат е овој ги лажи на луѓево му вика, слушај
159740	161140	SP1	lat	ja sum, reče, rod
159740	161140	SP1	cyr	ја сум, рече, род
161820	163980	SP1	lat	me isprati tetka ì na svinjava
161820	163980	SP1	cyr	ме испрати тетка и на свињава
164200	165980	SP1	lat	da ja zemam da posedi kaj nas
164200	165980	SP1	cyr	да ја земам да поседи кај нас
167020	168630	SP1	lat	kako ja sea šo te zemav tebe
167020	168630	SP1	cyr	како ја сеа шо те земав тебе
169200	170405	SP1	lat	da ostaniš kaj mene večer
169200	170405	SP1	cyr	да останиш кај мене вечер
172840	173895	SP1	lat	i, aaaau
172840	173895	SP1	cyr	и аааау
174140	175645	SP1	lat	ḱe ja puštime!
174140	175645	SP1	cyr	ќе ја пуштиме!
176100	177615	SP1	lat	ḱe ja naredite, reče, so
176100	177615	SP1	cyr	Ќе ја наредите, рече, со
177732	178765	SP1	lat	so ǵerdanje
177732	178765	SP1	cyr	со ѓердање
179380	182505	SP1	lat	što imate zlato, ḱe ì klajte na guša, sè, reče, da ja oble...
179380	182505	SP1	cyr	што имате злато, ќе и клајте на гуша, сè, рече, да ја обле...
182960	184495	SP1	lat	da ja doterate za na gosti
182960	184495	SP1	cyr	да ја дотерате за нагости.
185140	186925	SP1	lat	i ḱe mi dajte, reče
185140	186925	SP1	cyr	и ќе ми дајте, рече
187280	188420	SP1	lat	pčenka, eden kočan
187280	188420	SP1	cyr	пченка, еден кочан
189600	191280	SP1	lat	da, da ì davat, znaiš
189600	191280	SP1	cyr	да, да и дават, знаиш
191680	193395	SP1	lat	i ona, oni ḱe odat po jadenjeto
191680	193395	SP1	cyr	и она, они ќе одат по јадењето
194360	196785	SP1	lat	i ja zemal svinjata i ja odnesol doma
194360	196785	SP1	cyr	и ја земал свињата и ја однесол дома
197860	199870	SP1	lat	ja odnesol doma sose prasina,
197860	199870	SP1	cyr	аа однесол дома сосе прасина,
200340	201405	SP1	lat	sose zlato
200340	201405	SP1	cyr	сосе злато
201760	203730	SP1	lat	i ovie ostanale živi
201760	203730	SP1	cyr	и овие останале живи
204280	206415	SP1	lat	e taka, imalo mnogu pobudali od niv
204280	206415	SP1	cyr	е така, имало многу побудали од нив
207075	207337	SP1	lat	ete
207075	207337	SP1	cyr	ете
207700	209070	SP1	lat	taa je, tolku je
207700	209070	SP1	cyr	таа је, толку је
